intent,ground_truth_f1,n_samples_ground_truth,baseline_f1,finetuned_f1,baseline_drop,finetuned_drop,recovery
transport_taxi,1.0,97,0.018145161290322582,0.13671274961597543,0.9818548387096774,0.8632872503840245,0.11856758832565285
audio_volume_down,1.0,95,0.026356589147286825,0.1042830540037244,0.9736434108527132,0.8957169459962756,0.07792646485643757
qa_currency,1.0,108,0.02894736842105263,0.08571428571428572,0.9710526315789474,0.9142857142857143,0.056766917293233084
transport_traffic,1.0,87,0.03205128205128205,0.003457216940363008,0.967948717948718,0.996542783059637,-0.02859406511091904
transport_ticket,1.0,101,0.03609154929577465,0.2436548223350254,0.9639084507042254,0.7563451776649746,0.20756327303925073
email_addcontact,1.0,20,0.03636363636363637,0.47368421052631576,0.9636363636363636,0.5263157894736843,0.4373205741626794
iot_wemo_off,1.0,26,0.04242424242424243,0.0,0.9575757575757575,1.0,-0.04242424242424243
iot_hue_lightup,1.0,49,0.049145299145299144,1.0,0.9508547008547008,0.0,0.9508547008547008
music_settings,1.0,22,0.05291005291005291,0.09655172413793103,0.9470899470899471,0.903448275862069,0.043641671227878126
iot_coffee,1.0,68,0.06074766355140187,0.06456456456456457,0.9392523364485982,0.9354354354354354,0.0038169010131626976
general_joke,1.0,58,0.06719367588932806,0.19099099099099098,0.9328063241106719,0.809009009009009,0.12379731510166292
iot_wemo_on,1.0,13,0.075,1.0,0.925,0.0,0.925
calendar_remove,0.49759615384615385,209,0.012880719173487187,0.09226804123711341,0.48471543467266665,0.40532811260904045,0.07938732206362623
qa_stock,0.49748743718592964,100,0.019393939393939394,0.07657657657657659,0.47809349779199023,0.42091086060935307,0.05718263718263719
alarm_set,0.4967532467532468,155,0.02281746031746032,0.12040133779264214,0.4739357864357865,0.37635190896060466,0.09758387747518182
iot_hue_lightdim,0.4768211920529801,79,0.0184645286686103,0.056447688564476885,0.4583566633843698,0.4203735034885032,0.037983159895866585
takeaway_query,0.4930232558139535,109,0.0349146110056926,0.08645833333333333,0.4581086448082609,0.40656492248062015,0.051543722327640734
datetime_convert,0.4945054945054945,46,0.03653846153846154,0.23863636363636365,0.457967032967033,0.2558691308691309,0.2020979020979021
iot_hue_lightoff,0.4811320754716981,55,0.02389705882352941,0.025089605734767026,0.4572350166481687,0.4560424697369311,0.0011925469112376158
alarm_remove,0.46296296296296297,87,0.008658008658008658,0.06635700066357,0.4543049543049543,0.39660596229939293,0.05769899200556135
iot_hue_lightchange,0.4939759036144578,84,0.04227642276422764,0.11708860759493671,0.45169948085023015,0.3768872960195211,0.07481218483070906
iot_hue_lighton,0.45,11,0.0,0.07142857142857142,0.45,0.37857142857142856,0.07142857142857142
audio_volume_up,0.4712041884816754,101,0.027983539094650203,0.1532976827094474,0.4432206493870252,0.317906505772228,0.1253141436147972
recommendation_movies,0.4852941176470588,35,0.04924242424242424,0.1388888888888889,0.43605169340463457,0.3464052287581699,0.08964646464646465
iot_cleaning,0.4244604316546763,80,0.02079207920792079,0.072,0.4036683524467555,0.3524604316546763,0.051207920792079205
social_query,0.31865828092243187,83,0.009150326797385621,0.04208754208754209,0.3095079541250462,0.2765707388348898,0.03293721529015647
play_radio,0.3245997088791849,235,0.01683911543923717,0.054525919957023904,0.3077605934399477,0.270073788922161,0.037686804517786734
