scenario,ground_truth_f1,n_samples_ground_truth,baseline_f1,finetuned_f1,baseline_drop,finetuned_drop,recovery
transport,0.7888086580973354,431,0.056262559532464965,0.13498077262201322,0.7325460985648704,0.6538278854753221,0.07871821308954825
iot,0.6021528756988415,483,0.09025429947228635,0.1399314497416249,0.5118985762265551,0.46222142595721655,0.04967715026933857
takeaway,0.45386541471048514,186,0.04147901952638139,0.12101149983803046,0.41238639518410375,0.3328539148724547,0.07953248031164907
audio,0.4042726252804787,285,0.043092768135051494,0.15125036828139052,0.3611798571454272,0.2530222569990882,0.10815760014633902
datetime,0.3929556711463012,362,0.03524154275227236,0.10178710178710178,0.35771412839402883,0.29116856935919944,0.06654555903482942
music,0.38122141511972024,252,0.052579716750223666,0.11097334817612127,0.3286416983694966,0.270248066943599,0.0583936314258976
alarm,0.34532583041757353,366,0.03253814692464999,0.12064868451729767,0.3127876834929235,0.22467714590027588,0.08811053759264767
email,0.32589432057424156,597,0.037397043386203276,0.17869502764472625,0.2884972771880383,0.1471992929295153,0.14129798425852297
social,0.26495793416463137,270,0.021606394129979035,0.0484453781512605,0.24335154003465234,0.21651255601337088,0.026838984021281466
lists,0.2732943498037458,440,0.03398985322124983,0.1545840055479205,0.23930449658249595,0.11871034425582527,0.12059415232667067
qa,0.2875986708824106,809,0.057692436759493065,0.11082272709019,0.22990623412291752,0.17677594379222059,0.05313029033069694
recommendation,0.2699912395094791,248,0.06526832526719097,0.12022967101179391,0.20472291424228817,0.1497615684976852,0.054961345744602944
play,0.24017832907106723,1260,0.05796583869656836,0.13388580573656664,0.18221249037449888,0.1062925233345006,0.07591996703999829
calendar,0.1897463834934377,1146,0.03179185763682634,0.08020249292554282,0.15795452585661135,0.10954389056789487,0.04841063528871648
cooking,0.14990689013035383,197,0.02676056338028169,0.03615635179153094,0.12314632675007214,0.11375053833882288,0.009395788411249252
weather,0.13516711032238984,509,0.016203703703703706,0.038211070676115684,0.11896340661868614,0.09695603964627417,0.022007366972411978
news,0.13042375031717837,306,0.019003115264797508,0.04115384615384615,0.11142063505238087,0.08926990416333222,0.022150730889048644
general,0.06601438848920864,541,0.03637662681621365,0.042142621089989514,0.02963776167299499,0.023871767399219125,0.0057659942737758665
