system,error_type,samples,intent_failure_rate,low_impact_rate,mean_edits,mean_overlap
baseline,deletion,19,0.21052631578947367,0.7894736842105263,1.105263157894737,0.787425001898686
baseline,entity_error,43,0.09302325581395349,0.9069767441860465,1.3255813953488371,0.722732629127978
baseline,no_error,565,0.20353982300884957,0.0,0.0,1.0
baseline,number_error,488,0.6823770491803278,0.3176229508196721,6.598360655737705,0.22969560391536667
baseline,proper_noun_error,7573,0.6454509441436683,0.35454905585633173,4.054007658787799,0.30206627969304156
finetuned,deletion,59,0.0847457627118644,0.9152542372881356,1.0847457627118644,0.7964273485459925
finetuned,entity_error,46,0.043478260869565216,0.9565217391304348,1.1521739130434783,0.7699526319091538
finetuned,no_error,1843,0.15897992403689637,0.0,0.0,1.0
finetuned,number_error,253,0.2885375494071146,0.7114624505928854,3.8616600790513833,0.4881534242272415
finetuned,proper_noun_error,6487,0.2982888854632342,0.7017111145367658,2.310775396947742,0.5294706700193705
