intent,n_samples,failure_rate,error_type
music_query,1,1.0,deletion
recommendation_locations,1,1.0,deletion
news_query,2,0.5,deletion
alarm_query,3,0.3333333333333333,deletion
datetime_query,2,0.0,deletion
lists_query,2,0.0,deletion
iot_coffee,1,0.0,deletion
music_likeness,1,0.0,deletion
play_game,1,0.0,deletion
qa_currency,1,0.0,deletion
qa_definition,1,0.0,deletion
qa_maths,1,0.0,deletion
takeaway_order,1,0.0,deletion
weather_query,1,0.0,deletion
calendar_remove,1,1.0,entity_error
general_greet,1,1.0,entity_error
iot_hue_lightchange,2,0.5,entity_error
datetime_query,4,0.25,entity_error
weather_query,6,0.0,entity_error
calendar_set,5,0.0,entity_error
general_quirky,5,0.0,entity_error
music_query,2,0.0,entity_error
news_query,2,0.0,entity_error
play_music,2,0.0,entity_error
transport_traffic,2,0.0,entity_error
email_querycontact,1,0.0,entity_error
email_sendemail,1,0.0,entity_error
general_joke,1,0.0,entity_error
play_game,1,0.0,entity_error
play_podcasts,1,0.0,entity_error
qa_definition,1,0.0,entity_error
qa_factoid,1,0.0,entity_error
qa_maths,1,0.0,entity_error
recommendation_events,1,0.0,entity_error
social_post,1,0.0,entity_error
transport_query,1,0.0,entity_error
query,14,1.0,no_error
music,4,1.0,no_error
quirky,4,1.0,no_error
cooking_query,3,1.0,no_error
factoid,3,1.0,no_error
greet,1,1.0,no_error
hue_lightoff,1,1.0,no_error
music_dislikeness,1,1.0,no_error
set,1,1.0,no_error
music_likeness,3,0.6666666666666666,no_error
social_post,2,0.5,no_error
general_quirky,66,0.48484848484848486,no_error
audio_volume_mute,13,0.46153846153846156,no_error
calendar_query,27,0.4074074074074074,no_error
qa_factoid,23,0.391304347826087,no_error
qa_maths,3,0.3333333333333333,no_error
takeaway_order,3,0.3333333333333333,no_error
recommendation_events,11,0.2727272727272727,no_error
email_querycontact,4,0.25,no_error
recommendation_locations,4,0.25,no_error
play_podcasts,10,0.2,no_error
alarm_remove,5,0.2,no_error
iot_hue_lightchange,5,0.2,no_error
iot_hue_lightoff,6,0.16666666666666666,no_error
alarm_query,7,0.14285714285714285,no_error
