intent,n_samples,avg_risk,failure_rate
audio_volume_up,101,0.7373043871727725,0.6633663366336634
iot_hue_lightdim,79,0.736455484884127,0.759493670886076
alarm_remove,87,0.7343620385393452,0.8620689655172413
audio_volume_mute,89,0.7147541803786662,0.7415730337078652
iot_cleaning,80,0.7042424960377653,0.7375
email_query,282,0.7021802863187669,0.851063829787234
iot_hue_lightoff,55,0.7016164898418785,0.7636363636363637
takeaway_order,77,0.6994891044747742,0.6363636363636364
transport_taxi,97,0.6962070401600903,0.7216494845360825
audio_volume_down,95,0.6954096982923815,0.6421052631578947
lists_remove,123,0.686233236340953,0.6991869918699187
iot_hue_lightup,49,0.6833431871940032,0.5306122448979592
play_radio,235,0.6823646420404295,0.6468085106382979
play_podcasts,119,0.680232840901381,0.7899159663865546
lists_createoradd,106,0.6648696691621195,0.6509433962264151
social_post,185,0.6615917995390207,0.6162162162162163
qa_stock,100,0.6606956783303305,0.68
qa_currency,108,0.6570203756037868,0.5925925925925926
recommendation_movies,35,0.6514480307672468,0.6285714285714286
datetime_convert,46,0.6434771523725902,0.5869565217391305
transport_ticket,101,0.6411046846687971,0.594059405940594
qa_maths,54,0.6407116134743231,0.7222222222222222
takeaway_query,109,0.6390991365773441,0.5779816513761468
email_sendemail,226,0.6328224019863651,0.5796460176991151
recommendation_locations,101,0.6319622895908206,0.6138613861386139
alarm_set,155,0.6277378909201518,0.5548387096774193
calendar_remove,209,0.6269273085027095,0.7703349282296651
play_music,503,0.6240410555726598,0.5228628230616302
social_query,83,0.6179037841446671,0.9156626506024096
music_likeness,65,0.6012355513557922,0.7692307692307693
qa_factoid,332,0.5999138705109215,0.6596385542168675
transport_traffic,87,0.5973636480092456,0.6551724137931034
play_game,79,0.5968036199034203,0.5949367088607594
iot_hue_lightchange,84,0.5918796223627193,0.5357142857142857
lists_query,195,0.5907504635351641,0.6974358974358974
music,39,0.5878210045953336,1.0
play_audiobook,279,0.5864659840574817,0.5125448028673835
cooking_recipe,183,0.5850368598533889,0.4808743169398907
weather_query,474,0.5822616524495013,0.5717299578059072
email_querycontact,60,0.5805737075760723,0.5666666666666667
alarm_query,122,0.5769663828532141,0.6967213114754098
transport_query,146,0.5747730756231445,0.4452054794520548
query,87,0.5720470422062086,1.0
calendar_set,463,0.5707853532523651,0.4427645788336933
datetime_query,308,0.570776285003458,0.5194805194805194
music_query,160,0.5653648066586585,0.70625
news_query,306,0.5642551308985081,0.6013071895424836
calendar_query,454,0.5617690590014656,0.6101321585903083
general_quirky,438,0.5541037167929598,0.4383561643835616
qa_definition,201,0.5412569876613639,0.43781094527363185
iot_coffee,68,0.5297067040049617,0.4264705882352941
recommendation_events,112,0.5277373282165223,0.6696428571428571
general_joke,58,0.5214707244868816,0.41379310344827586
