intent,n_samples,avg_risk,failure_rate
iot_hue_lightoff,55,0.6238773465297817,0.8727272727272727
transport_traffic,87,0.5194698836303742,0.9770114942528736
qa_maths,54,0.48041284880161295,0.5185185185185185
iot_hue_lightdim,79,0.477133709861888,0.26582278481012656
iot_coffee,68,0.45172937971870036,0.36764705882352944
general_quirky,438,0.3914434052956369,0.4885844748858447
social_post,185,0.3860707151712568,0.3675675675675676
iot_cleaning,80,0.37593541556138277,0.4375
cooking_recipe,183,0.3498129545022504,0.39344262295081966
social_query,83,0.34591463809240336,0.6987951807228916
qa_factoid,332,0.33973694008597105,0.47289156626506024
qa_currency,108,0.3235892189092759,0.25
recommendation_events,112,0.30897455874894086,0.4017857142857143
play_audiobook,279,0.30880404836855063,0.18996415770609318
takeaway_query,109,0.3063963533489638,0.23853211009174313
audio_volume_down,95,0.3013044122793737,0.11578947368421053
recommendation_locations,101,0.2941872573933026,0.26732673267326734
takeaway_order,77,0.28412104211530215,0.2077922077922078
email_querycontact,60,0.28357115541965316,0.4666666666666667
iot_hue_lightup,49,0.2835340031504835,0.0
recommendation_movies,35,0.2829355139795056,0.2857142857142857
audio_volume_mute,89,0.28020701117073404,0.19101123595505617
music_likeness,65,0.27068300705085907,0.38461538461538464
music_query,160,0.2681390128855494,0.30625
alarm_remove,87,0.26449488518167,0.42528735632183906
datetime_convert,46,0.2606809500722386,0.08695652173913043
news_query,306,0.2575818704750202,0.3006535947712418
calendar_query,454,0.2550285279131393,0.2511013215859031
play_podcasts,119,0.24549544063659762,0.21008403361344538
play_music,503,0.2438521680979844,0.12922465208747516
lists_remove,123,0.24070033163071403,0.21138211382113822
datetime_query,308,0.2399221199986995,0.1396103896103896
play_game,79,0.23865300808287487,0.24050632911392406
qa_definition,201,0.2289742307286926,0.21890547263681592
iot_hue_lightchange,84,0.22768989796990463,0.11904761904761904
general_joke,58,0.21529722298841222,0.08620689655172414
weather_query,474,0.20930442759268497,0.15822784810126583
lists_createoradd,106,0.20811594930119473,0.16037735849056603
transport_ticket,101,0.20315577253544237,0.04950495049504951
transport_query,146,0.20250663923224896,0.1232876712328767
calendar_set,463,0.19724504401778606,0.12311015118790497
play_radio,235,0.1966814967360605,0.13617021276595745
transport_taxi,97,0.19354831548241824,0.08247422680412371
alarm_query,122,0.18814935961508142,0.26229508196721313
calendar_remove,209,0.1812310240325619,0.14354066985645933
qa_stock,100,0.180543386696023,0.15
email_sendemail,226,0.1790848835471416,0.084070796460177
audio_volume_up,101,0.17677166218286758,0.1485148514851485
email_query,282,0.1668371593606457,0.1347517730496454
query,87,0.16257873370304013,1.0
music,39,0.15973618567902234,1.0
lists_query,195,0.1528755733494155,0.11794871794871795
alarm_set,155,0.15156137229892513,0.07096774193548387
