baseline_primary_error_type,research_recovery_status,samples
deletion,always_correct,13
deletion,recovered,2
deletion,regressed,2
deletion,still_broken,2
entity_error,always_correct,31
entity_error,recovered,2
entity_error,regressed,8
entity_error,still_broken,2
no_error,always_correct,399
no_error,recovered,13
no_error,regressed,51
no_error,still_broken,102
number_error,always_correct,141
number_error,recovered,247
number_error,regressed,14
number_error,still_broken,86
proper_noun_error,always_correct,2366
proper_noun_error,recovered,3166
proper_noun_error,regressed,319
proper_noun_error,still_broken,1722
