feature,coefficient,abs_coefficient
cat__baseline_primary_error_type_entity_error,-1.530534568987214,1.530534568987214
cat__baseline_primary_error_type_no_error,1.2343169796874705,1.2343169796874705
num__baseline_lexical_overlap,-1.1071689432026568,1.1071689432026568
num__baseline_confidence,-0.9388402885875273,0.9388402885875273
cat__baseline_primary_error_type_deletion,0.3420375231630757,0.3420375231630757
cat__baseline_primary_error_type_proper_noun_error,0.2305211919013123,0.2305211919013123
num__baseline_contains_entity_error,0.11006411776209821,0.11006411776209821
num__baseline_contains_proper_noun_error,-0.09591843293100423,0.09591843293100423
num__baseline_contains_homophone_like_error,-0.08454058854109578,0.08454058854109578
num__baseline_n_insertions,-0.03424375428938388,0.03424375428938388
num__baseline_n_deletions,0.026145152118964034,0.026145152118964034
num__baseline_n_substitutions,0.024965058403232005,0.024965058403232005
num__baseline_n_total_edits,0.023329688312605325,0.023329688312605325
cat__baseline_primary_error_type_number_error,0.014636701140097984,0.014636701140097984
num__baseline_number_x_entity,-0.007415277105029906,0.007415277105029906
num__baseline_number_x_proper,-0.007415277105029906,0.007415277105029906
num__baseline_contains_number_error,-0.007415277105029906,0.007415277105029906
