feature,coefficient,abs_coefficient
num__finetuned_confidence,-1.1249609204178348,1.1249609204178348
cat__finetuned_primary_error_type_entity_error,-1.0938204721458484,1.0938204721458484
cat__finetuned_primary_error_type_no_error,0.9080034468150981,0.9080034468150981
num__finetuned_lexical_overlap,-0.7822601052040575,0.7822601052040575
cat__finetuned_primary_error_type_proper_noun_error,-0.5068370698581041,0.5068370698581041
num__finetuned_contains_entity_error,0.2257203930312292,0.2257203930312292
num__finetuned_contains_homophone_like_error,-0.09421971820088004,0.09421971820088004
cat__finetuned_primary_error_type_deletion,0.06189587597103633,0.06189587597103633
num__finetuned_contains_proper_noun_error,-0.055988376343656325,0.055988376343656325
num__finetuned_n_deletions,-0.05502509185869965,0.05502509185869965
num__finetuned_contains_number_error,-0.041283422943695754,0.041283422943695754
num__finetuned_number_x_entity,-0.041283422943695754,0.041283422943695754
num__finetuned_number_x_proper,-0.041283422943695754,0.041283422943695754
cat__finetuned_primary_error_type_number_error,-0.02606879978080488,0.02606879978080488
num__finetuned_n_substitutions,0.021844179285065084,0.021844179285065084
num__finetuned_n_total_edits,0.012209250372153358,0.012209250372153358
num__finetuned_n_insertions,-0.007254401455965113,0.007254401455965113
