feature,importance
num__baseline_confidence,0.5783566522240762
num__baseline_lexical_overlap,0.2536178332170976
num__baseline_n_substitutions,0.05697055009091973
num__baseline_n_total_edits,0.048736999810891954
num__baseline_contains_homophone_like_error,0.01652727962431531
num__baseline_n_deletions,0.010468649739501125
num__baseline_contains_entity_error,0.010349280723938753
num__baseline_n_insertions,0.007477287526746762
num__baseline_contains_proper_noun_error,0.006309494378828497
cat__baseline_primary_error_type_proper_noun_error,0.0032912487411345687
cat__baseline_primary_error_type_no_error,0.002693601405395497
cat__baseline_primary_error_type_number_error,0.0011657922818244307
num__baseline_number_x_proper,0.0011591324576173082
num__baseline_contains_number_error,0.0011191551285416065
num__baseline_number_x_entity,0.0010803695600084893
cat__baseline_primary_error_type_entity_error,0.0005533126976112534
cat__baseline_primary_error_type_deletion,0.00012336039155080503
