feature,importance
num__finetuned_confidence,0.7404708008448737
num__finetuned_lexical_overlap,0.1620586438945234
num__finetuned_n_substitutions,0.031200880732154195
num__finetuned_n_total_edits,0.028089355797586285
num__finetuned_contains_homophone_like_error,0.014364848992360211
num__finetuned_n_deletions,0.005374663224793905
num__finetuned_contains_entity_error,0.004851210986403647
num__finetuned_n_insertions,0.004800106935256857
cat__finetuned_primary_error_type_proper_noun_error,0.0021560270269340752
num__finetuned_contains_proper_noun_error,0.0020848531642669206
num__finetuned_number_x_entity,0.000976845702379462
cat__finetuned_primary_error_type_number_error,0.0008565664694840245
num__finetuned_contains_number_error,0.0008226293018022445
num__finetuned_number_x_proper,0.0008218808323632716
cat__finetuned_primary_error_type_no_error,0.0006962369918333529
cat__finetuned_primary_error_type_entity_error,0.00019678419496608533
cat__finetuned_primary_error_type_deletion,0.00017766490801824245
