bin,samples,failure_rate,mean_score,system,score_name
low,2902,0.33425223983459684,0.40642397771058714,baseline,SERS_H
medium,2990,0.6802675585284281,0.5374004978145505,baseline,SERS_H
high,2796,0.8369098712446352,0.6204922137956497,baseline,SERS_H
low,2896,0.2541436464088398,0.2623895869485632,baseline,SERS_L_OOF
medium,2896,0.6840469613259669,0.6676789172842538,baseline,SERS_L_OOF
high,2896,0.9071132596685083,0.9147083637261509,baseline,SERS_L_OOF
low,2910,0.1450171821305842,0.16587662874190034,finetuned,SERS_H
medium,3158,0.22387587080430651,0.5196635047916861,finetuned,SERS_H
high,2620,0.45,0.5752566251374298,finetuned,SERS_H
low,2896,0.07285911602209945,0.08631143525942797,finetuned,SERS_L_OOF
medium,2896,0.1412292817679558,0.1510267796002669,finetuned,SERS_L_OOF
high,2896,0.5828729281767956,0.5595408400604663,finetuned,SERS_L_OOF
