subset,parent,metric,delta_mean,ci_lo,ci_hi,significant
B_confidence_only,B,roc_auc,-0.0482818586093569,-0.10459140270334183,-0.016546489313159104,True
B_confidence_only,B,pr_auc,-0.0695975517429539,-0.18932851520436317,0.016801269916132865,False
B_confidence_only,B,brier,0.018706257104010134,0.01621034894307809,0.021074596104251896,True
B_entropy_only,B,roc_auc,-0.0022774521161340686,-0.009372940690462184,0.0014594748376137684,False
B_entropy_only,B,pr_auc,0.03070678930161091,-0.09820410261064279,0.16023205670724225,False
B_entropy_only,B,brier,0.00016347898997600617,-0.00019197049405357192,0.000571720044442914,False
B_margin_only,B,roc_auc,-0.014000180612644996,-0.025376682644810356,-0.0035685906335392,True
B_margin_only,B,pr_auc,-0.00035205083497181366,-0.048498787299719154,0.05165736652869934,False
B_margin_only,B,brier,0.01829836017204259,0.01598678477385335,0.02076641538213113,True
C_without_duration,C,roc_auc,-0.0023380036672869453,-0.04427305526666231,0.050413288675966096,False
C_without_duration,C,pr_auc,-0.010587875500525309,-0.054685168522177696,0.023120110872564232,False
C_without_duration,C,brier,4.406027331048406e-05,-6.132063450215432e-05,0.0001545279315698494,False
C_without_asr_entropy,C,roc_auc,-0.01621165531100936,-0.079699485902273,0.04436459227709896,False
C_without_asr_entropy,C,pr_auc,0.007377898717249648,-0.030811324917556736,0.05540307116638136,False
C_without_asr_entropy,C,brier,-1.9689971292146424e-05,-0.0001895782435480567,0.00016484269267949756,False
C_without_asr_confidence,C,roc_auc,-0.012158303186535584,-0.07611670374249463,0.04502609272286911,False
C_without_asr_confidence,C,pr_auc,0.03328418981933335,-0.019870920152437827,0.1111955039222047,False
C_without_asr_confidence,C,brier,3.605709201160037e-05,-0.0003861357910771288,0.0004266383982189415,False
