ground_truth_intent,n,failures,failure_rate
quirky,26,26,1.0
cleaning,8,8,1.0
greet,2,2,1.0
general_greet,17,17,1.0
factoid,14,14,1.0
set,3,3,1.0
hue_lightup,1,1,1.0
query,87,87,1.0
cooking_query,14,14,1.0
hue_lightoff,9,9,1.0
music,39,39,1.0
music_dislikeness,5,5,1.0
podcasts,6,6,1.0
post,2,2,1.0
iot_hue_lighton,11,10,0.9090909090909091
general_quirky,438,249,0.5684931506849316
qa_maths,54,28,0.5185185185185185
qa_factoid,332,150,0.45180722891566266
recommendation_events,112,46,0.4107142857142857
music_likeness,65,21,0.3230769230769231
social_query,83,25,0.30120481927710846
email_querycontact,60,18,0.3
alarm_remove,87,25,0.28735632183908044
recommendation_locations,101,29,0.2871287128712871
alarm_query,122,34,0.2786885245901639
iot_cleaning,80,22,0.275
iot_hue_lightoff,55,15,0.2727272727272727
audio_volume_mute,89,23,0.25842696629213485
iot_hue_lightdim,79,20,0.25316455696202533
news_query,306,76,0.24836601307189543
lists_remove,123,30,0.24390243902439024
play_game,79,19,0.24050632911392406
iot_wemo_off,26,6,0.23076923076923078
recommendation_movies,35,8,0.22857142857142856
qa_definition,201,45,0.22388059701492538
music_query,160,35,0.21875
play_podcasts,119,26,0.2184873949579832
calendar_query,454,90,0.19823788546255505
social_post,185,35,0.1891891891891892
takeaway_query,109,20,0.1834862385321101
music_settings,22,4,0.18181818181818182
takeaway_order,77,13,0.16883116883116883
qa_stock,100,15,0.15
audio_volume_up,101,15,0.1485148514851485
cooking_recipe,183,25,0.1366120218579235
play_radio,235,29,0.12340425531914893
transport_query,146,18,0.1232876712328767
play_music,503,61,0.12127236580516898
calendar_remove,209,25,0.11961722488038277
iot_hue_lightchange,84,10,0.11904761904761904
audio_volume_down,95,11,0.11578947368421053
lists_query,195,22,0.11282051282051282
weather_query,474,53,0.11181434599156118
play_audiobook,279,31,0.1111111111111111
email_query,282,31,0.1099290780141844
qa_currency,108,11,0.10185185185185185
email_addcontact,20,2,0.1
datetime_query,308,30,0.09740259740259741
lists_createoradd,106,10,0.09433962264150944
email_sendemail,226,21,0.09292035398230089
calendar_set,463,40,0.08639308855291576
transport_taxi,97,7,0.07216494845360824
alarm_set,155,11,0.07096774193548387
datetime_convert,46,3,0.06521739130434782
iot_coffee,68,4,0.058823529411764705
general_joke,58,3,0.05172413793103448
transport_traffic,87,4,0.04597701149425287
transport_ticket,101,3,0.0297029702970297
iot_hue_lightup,49,1,0.02040816326530612
iot_wemo_on,13,0,0.0
